10.2.43.239;"Atualização de Segurança para Windows XP (KB952954)";"20101125";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para o Windows Media Player 11 (KB954154)";"20101125";"";"";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para o Windows Media Player (KB954155)";"20101125";"";"";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB954459)";"20101125";"";"1";"Microsoft Corporation"
10.2.43.239;"Hotfix for Windows XP (KB954550-v5)";"20101125";"";"5";"Microsoft Corporation"
10.2.43.239;"Atualização para Windows XP (KB955759)";"20101125";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB956572)";"20101125";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB956744)";"20101125";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB956802)";"20101125";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB956803)";"20101125";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB956844)";"20101125";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB958644)";"20101125";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB958869)";"20101125";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB959426)";"20101125";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB960803)";"20101125";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB960859)";"20101125";"";"1";"Microsoft Corporation"
10.2.43.239;"Hotfix para Windows XP (KB961118)";"20101217";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB961501)";"20101125";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização para Windows XP (KB961503)";"20110318";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização para Windows XP (KB967715)";"20101125";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização para Windows XP (KB968389)";"20101125";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB969059)";"20101125";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB970430)";"20101217";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização para Windows XP (KB971029)";"20110318";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB971657)";"20101125";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização para Windows XP (KB971737)";"20101217";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB971961)";"20101125";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB972270)";"20101125";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB973507)";"20101125";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para o Windows Media Player (KB973540)";"20101125";"";"";"Microsoft Corporation"
10.2.43.239;"Atualização para Windows XP (KB973687)";"20101217";"";"1";"Microsoft Corporation"
