10.2.52.13;"BRQ\mmattozeiro"
10.2.52.15;"BRQ\amcunha"
10.2.52.18;"BRQ\lucianoseabra"
10.2.52.21;"SRV1437\infra"
10.2.52.24;"BRQ\rubemluna"
10.2.52.27;"ernestogalaso"
10.2.52.28;"BRQ\jaaneto"
10.2.52.29;"BRQ\pedronjunior"
10.2.52.30;"BRQ\wallacecarvalho"
10.2.52.31;"jquintella"
10.2.52.34;"BRQ\wallacecarvalho"
10.2.52.35;"BRQ\wallacecarvalho"
10.2.52.36;"BRQ\wallacecarvalho"
10.2.52.37;"BRQ\wallacecarvalho"
10.2.52.38;"BRQ\wallacecarvalho"
10.2.52.40;"BRQ\wallacecarvalho"
10.2.52.42;"BRQ\wallacecarvalho"
10.2.52.44;"BRQ\wallacecarvalho"
10.2.52.45;"BRQ\ericklima"
10.2.52.4;"BRQ\griedel"
10.2.52.9;"BRQ\ericklima"
10.2.64.203;"RJSERVER3\vcenterrj"
10.2.64.222;"VCENTERSP\hmlocal"
10.2.66.113;"BRQ\rmarcondes"
10.2.66.122;"BRQ\rluz"
10.2.66.142;"BRQ\fabiofraga"
10.2.66.148;"BRQ\igabriel"
10.2.66.154;"BRQ\lfcabral"
10.2.66.15;"pmlima"
10.2.66.167;"BRQ\fsanches"
10.2.66.16;"BRQ\waoliveira"
10.2.66.180;"BRQ\alancardoso"
10.2.66.189;"roviganico"
10.2.66.191;"BRQ\girotto"
10.2.66.198;"BRQ\rflaperuta"
10.2.66.200;"BRQ\marciowendel"
10.2.66.204;"wyukimide"
10.2.66.208;"BRQ\hugomartinez"
10.2.66.211;"BRQ\fjusto"
10.2.66.215;"mvaraujo"
10.2.66.217;"BRQ\kborges"
10.2.66.21;"msroberto"
10.2.66.229;"BRQ\azampieri"
10.2.66.235;"BRQ\brunoheidorn"
10.2.66.236;"BRQ\wleite"
10.2.66.238;"BRQ\gcsouza"
10.2.66.242;"BRQ\luanaazevedo"
10.2.66.246;"rconceicao"
10.2.66.248;"BRQ\fgomes"
10.2.66.24;"BRQ\julianalara"
10.2.66.255;"psmartins"
10.2.66.26;"BRQ\fecosta"
10.2.66.31;"BRQ\lgrecco"
10.2.66.34;"BRQ\pdomingues"
10.2.66.38;"BRQ\ronaldojrsilva"
10.2.66.60;"cgolabek"
10.2.66.61;"BRQ\arsilveira"
10.2.66.67;"williansilva"
10.2.66.68;"BRQ\haroldoriccetto"
10.2.66.77;"BRQ\azanardi"
10.2.66.82;"ehashimoto"
10.2.66.89;"BRQ\lpessini"
10.2.66.8;"aiborra"
10.2.66.93;"BRQ\anapaulanascimento"
10.2.66.94;"pedroderossi"
10.2.67.104;"wssantos"
10.2.67.106;"BRQ\cleberrsantos"
10.2.67.109;"BRQ\nishi"
10.2.67.117;"ftarabay"
10.2.67.124;"BRQ\orion"
10.2.67.129;"BRQ\mcraveiro"
10.2.67.130;"umenezes"
10.2.67.131;"BRQ\thatianecalegari"
10.2.67.132;"BRQ\gperillo"
10.2.67.136;"m.silva"
10.2.67.140;"BRQ\tsoliveira"
10.2.67.143;"BRQ\vvigati"
10.2.67.151;"apssilva"
10.2.67.154;"BRQ\marcelom"
10.2.67.155;"rleone"
10.2.67.158;"lramosouza"
